,feature,geometry.coordinates,name,station_id
0,Part of a city,"[10.734403, 59.932728]",Adamstuen,SN18390
1,Part of a city,"[11.063425, 60.806847]",Ajer,SN12320
2,Part of a city,"[10.725042, 59.909928]",Aker brygge,SN18670
3,Small town,"[9.251283, 59.395092]",Akkerhaugen,SN32060
4,Small town,"[5.44565, 59.424017]",Aksdal,SN47060
5,Small town,"[4.952639, 60.359464]",Algrøyna,SN50514
6,Small town,"[7.067503, 58.137675]",Alleen,SN41825
7,Part of a city,"[14.469256, 67.273756]",Alstad,SN82220
8,Small town,"[15.279714, 68.901875]",Alsvåg,SN86950
9,City or large town,"[23.271628, 69.968869]",Alta,SN93090
10,Small town,"[10.630708, 62.107678]",Alvdal,SN8880
11,Part of a city,"[10.923522, 59.249622]",Ambjørnrød,SN3050
12,Part of a city,"[10.871961, 59.963953]",Ammerud,SN18245
13,Small town,"[10.11415, 59.1069]",Amundrød,SN27785
14,Small town,"[16.119403, 69.31435]",Andenes,SN87105
15,Small town,"[18.515519, 69.065542]",Andselv,SN89350
16,Part of a city,"[7.976317, 58.112422]",Andøya,SN39210
17,Small town,"[17.380728, 68.421069]",Ankenes,SN84701
18,Part of a city,"[11.075525, 60.799883]",Ankerløkka,SN12320
19,Part of a city,"[10.941233, 59.212881]",Apenesfjellet,SN3019
20,City or large town,"[8.766947, 58.461214]",Arendal,SN36110
21,Part of a city,"[5.468236, 60.422031]",Arna,SN50830
22,Small town,"[11.0772, 60.078817]",Ask,SN4300
23,Small town,"[5.298964, 59.280989]",Askehagen,SN47250
24,Small town,"[10.479556, 59.87205]",Askenga,SN19670
25,Small town,"[10.437206, 59.833328]",Asker,SN19710
26,City or large town,"[11.163386, 59.583783]",Askim,SN3810
27,Small town,"[5.062242, 61.346731]",Askvoll,SN56420
28,Small town,"[11.506775, 64.065631]",Asphaugen,SN70740
29,Small town,"[7.953947, 58.121608]",Augland,SN39201
30,Part of a city,"[5.722289, 58.935336]",Auklend,SN44640
31,Small town,"[6.918044, 62.790994]",Aukrasanden,SN62510
32,Small town,"[9.414875, 60.924428]",Aurdal,SN22990
33,Small town,"[8.529125, 63.2679]",Aure,SN65145
34,Small town,"[7.187061, 60.905778]",Aurlandsvangen,SN53690
35,Small town,"[11.467914, 59.926875]",Aurskog,SN2650
36,Small town,"[11.442753, 59.927633]",Aursmoen,SN2560
37,Part of a city,"[5.7467, 58.992881]",Austbø,SN44660
38,Small town,"[5.385072, 59.702436]",Austra Mosterhamn,SN48069
39,Small town,"[9.552061, 60.822486]",Bagn,SN22810
40,Small town,"[6.536083, 61.209619]",Balestrand,SN55930
41,Small town,"[16.831433, 68.342886]",Ballangen,SN84060
42,Small town,"[13.545147, 68.074308]",Ballstad,SN85545
43,Small town,"[11.396881, 64.392319]",Bangsund,SN72200
44,Part of a city,"[8.774136, 58.462708]",Barbu,SN36110
45,Small town,"[7.672511, 62.894631]",Batnfjordsøra,SN62960
46,Part of a city,"[10.020833, 59.049444]",Batteritomta,SN30010
47,Small town,"[11.000875, 59.212717]",Begby,SN3015
48,Small town,"[17.595964, 68.376178]",Beisfjord,SN84500
49,Small town,"[8.906211, 61.248656]",Beitostølen,SN23550
50,Part of a city,"[10.771728, 59.883383]",Bekkelaget,SN18020
51,Small town,"[11.116169, 60.773825]",Bekkelaget,SN12210
52,Part of a city,"[11.049478, 60.810803]",Bekkesvea,SN12320
53,Part of a city,"[10.635194, 59.4372]",Bellevue,SN17251
54,Part of a city,"[10.737764, 59.947928]",Berg,SN18390
55,Small town,"[12.19775, 65.367497]",Berg,SN76260
56,City or large town,"[5.329072, 60.398258]",Bergen,SN50570
57,Part of a city,"[5.325608, 60.401231]",Bergenhus,SN50570
58,Part of a city,"[16.500025, 68.808308]",Bergseng,SN87640
59,Small town,"[11.077689, 61.891258]",Bergset,SN8800
60,Small town,"[10.009347, 62.828039]",Berkåk,SN66720
61,Small town,"[29.085933, 70.857792]",Berlevåg,SN98090
62,Small town,"[10.482297, 59.875478]",Billingstad,SN19670
63,Small town,"[10.611497, 60.955575]",Biri,SN11900
64,Small town,"[8.232306, 58.330814]",Birkeland,SN38320
65,Small town,"[8.266653, 61.884058]",Bismo,SN15660
66,Part of a city,"[5.744039, 58.946014]",Bispeladegård,SN44640
67,Small town,"[13.836222, 66.149078]",Bjerka,SN78370
68,Part of a city,"[18.920425, 69.632406]",Bjerkaker,SN90400
69,Small town,"[17.557094, 68.549167]",Bjerkvik,SN84770
70,Small town,"[10.485881, 59.792433]",Bjerkås,SN19670
71,Small town,"[5.179389, 60.322742]",Bjorøyna,SN50526
72,Part of a city,"[10.759192, 59.940508]",Bjølsen,SN18390
73,Small town,"[11.563958, 59.883572]",Bjørkelangen,SN2650
74,Part of a city,"[9.403869, 58.866794]",Bjørnebyen,SN34190
75,Small town,"[29.987217, 69.667447]",Bjørnevatn,SN99420
76,Part of a city,"[7.128083, 62.735872]",Bjørset,SN62295
77,Small town,"[15.955442, 69.272617]",Bleik,SN87120
78,Part of a city,"[10.723072, 59.940625]",Blindern,SN18701
79,Small town,"[15.38815, 68.599783]",Blokken,SN86500
80,City or large town,"[14.375128, 67.282669]",Bodø,SN82290
81,Small town,"[16.9928, 68.526464]",Bogen,SN84930
82,Part of a city,"[10.840311, 59.877078]",Bogerud,SN18170
83,Part of a city,"[11.056772, 60.802706]",Bondesvea,SN12320
84,Small town,"[10.447408, 59.832703]",Bondibråten,SN19710
85,Small town,"[16.171147, 68.772611]",Borkenes,SN87772
86,Small town,"[10.456456, 59.381889]",Borre,SN27162
87,Part of a city,"[23.235081, 69.960231]",Bossekop,SN93090
88,Small town,"[9.811122, 63.765311]",Botngård,SN71580
89,Part of a city,"[10.206947, 59.747269]",Bragernes,SN26862
90,Small town,"[10.504278, 60.422139]",Brandbu,SN20610
91,Small town,"[11.801972, 60.724697]",Braskereidfoss,SN6580
92,Part of a city,"[9.625367, 59.202731]",Bratsberg,SN30275
93,Small town,"[6.444264, 62.599908]",Brattvåg,SN61045
94,Part of a city,"[9.662308, 59.157303]",Breidablikk,SN30285
95,Part of a city,"[23.68315, 70.634258]",Breidablikk,SN94245
96,Part of a city,"[10.226, 59.144792]",Breidablikk,SN27600
97,Part of a city,"[18.973075, 69.673872]",Breivika,SN90495
98,Small town,"[22.287119, 70.588769]",Breivikbotn,SN92770
99,Small town,"[5.304989, 60.419811]",Breiviken,SN50570
100,Small town,"[11.865158, 62.648383]",Brekkebygd,SN10800
101,Small town,"[11.865158, 62.648383]",Brekken,SN10800
102,Small town,"[8.347844, 58.195181]",Brekkestø,SN38170
103,City or large town,"[9.665394, 63.686983]",Brekstad,SN71530
104,City or large town,"[9.695931, 59.055439]",Brevik,SN30248
105,Part of a city,"[10.716572, 59.92115]",Briskeby,SN18645
106,Part of a city,"[11.091372, 60.793486]",Briskebyen,SN12290
107,Part of a city,"[10.821339, 59.943383]",Brobekk,SN18225
108,Small town,"[10.435439, 59.228583]",Brua,SN27390
109,City or large town,"[10.944892, 60.883619]",Brumunddal,SN12340
110,Small town,"[8.483044, 59.434639]",Brunkeberg,SN32840
111,Small town,"[5.744633, 58.540631]",Brusand,SN43895
112,Small town,"[5.686189, 60.478564]",Bruvik,SN51010
113,City or large town,"[5.647681, 58.735364]",Bryne,SN44170
114,Part of a city,"[11.380775, 59.139964]",Brødløs,SN1230
115,City or large town,"[12.207458, 65.468136]",Brønnøysund,SN76330
116,Small town,"[6.914053, 62.907214]",Bud,SN62510
117,Small town,"[29.642308, 69.97295]",Bugøynes,SN98790
118,Part of a city,"[23.304042, 69.977658]",Bukta,SN93090
119,Part of a city,"[10.453253, 61.118464]",Busmoen,SN12648
120,Small town,"[10.184058, 63.312514]",Buvika,SN67150
121,Part of a city,"[9.243575, 58.725525]",Buvika,SN35345
122,Part of a city,"[23.716906, 70.659158]",Bybo,SN94245
123,Part of a city,"[10.950836, 59.212656]",Bydalen,SN3019
124,Part of a city,"[10.674314, 59.906953]",Bygdøy,SN18815
125,Small town,"[7.813114, 58.666125]",Byglandsfjord,SN39750
126,Small town,"[5.640675, 61.373847]",Bygstad,SN56780
127,Part of a city,"[5.702797, 58.975403]",Byhaugen,SN44620
128,Part of a city,"[10.136294, 63.376322]",Byneset,SN67020
129,Small town,"[7.819361, 63.108397]",Byskogen,SN64330
130,Part of a city,"[10.348419, 63.396569]",Byåsen,SN68125
131,Small town,"[10.200403, 60.183539]",Bålerud,SN20301
132,Part of a city,"[14.101792, 66.335397]",Båsmoen,SN79600
133,Small town,"[29.694792, 70.629236]",Båtsfjord,SN98340
134,Small town,"[9.069253, 59.412997]",Bø,SN32240
135,Part of a city,"[8.594094, 59.8788]",Bøen,SN31411
136,Part of a city,"[8.570494, 59.87975]",Bøhagen,SN31411
137,Part of a city,"[10.843753, 59.883433]",Bøler,SN18170
138,Small town,"[10.069186, 63.326742]",Børsa,SN67020
139,Part of a city,"[11.086714, 60.801544]",Børstad,SN12290
140,Small town,"[10.673222, 60.665139]",Bøverbru,SN11690
