,@type,country,countryCode,county,countyId,externalIds,geometry.@type,geometry.coordinates,geometry.nearest,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId
0,SensorSystem,Norge,NO,HEDMARK,4.0,,Point,"[12.5039, 61.1349]",False,,SN100,333.0,TRYSIL,428.0,PLASSEN,,Plassen,['MET.NO'],1968-07-01,0-578-0-100,
1,SensorSystem,Norge,NO,HEDMARK,4.0,,Point,"[11, 62.42]",False,,SN10050,565.0,TOLGA,436.0,TOLGA,,,,1500-01-01,,
2,SensorSystem,Norge,NO,HEDMARK,4.0,['204'],Point,"[11.1723, 62.5003]",False,,SN10070,600.0,OS,441.0,FV30 MOSENGET,,Mosenget,['STATENS VEGVESEN'],2011-03-14,0-578-0-10070,
3,SensorSystem,Norge,NO,HEDMARK,4.0,,Point,"[11.23, 62.5]",False,,SN10080,600.0,OS,441.0,OS,,,,1500-01-01,,
4,SensorSystem,Norge,NO,TRØNDELAG,50.0,,Point,"[11.7752, 62.4698]",False,,SN10300,650.0,RØROS,5025.0,HÅSJØEN - SOLGLØTT,,Håsjøen,['MET.NO'],1997-09-01,0-578-0-10300,
5,SensorSystem,Norge,NO,TRØNDELAG,50.0,"['01288', '10.249.0.69', 'ENRO']",Point,"[11.3518, 62.5773]",False,['ENRO'],SN10380,625.0,RØROS,5025.0,RØROS LUFTHAVN,,Røros,['AVINOR'],1957-08-01,0-20000-0-01288,1288.0
7,SensorSystem,Norge,NO,ØSTFOLD,1.0,,Point,"[11, 59.02]",False,,SN1050,30.0,HVALER,111.0,HVALER - SKJÆRHALLEN,,Skjærhallen,,1500-01-01,,
8,SensorSystem,Norge,NO,TRØNDELAG,50.0,,Point,"[11.4534, 62.6737]",False,,SN10600,685.0,RØROS,5025.0,AURSUND,,Aursund,['GLOMMENS OG LAAGENS BRUKSEIERFORENING'],1934-05-01,0-578-0-10600,
9,SensorSystem,Norge,NO,TRØNDELAG,50.0,,Point,"[11.83, 62.7]",False,,SN10650,750.0,RØROS,5025.0,AURSUNDEN - SØLENDET,,,,1500-01-01,,
10,SensorSystem,Norge,NO,ØSTFOLD,1.0,,Point,"[11.0322, 59.0418]",False,,SN1070,20.0,HVALER,111.0,HVALER - BREKKE,,HVALER ,['HVALER KOMMUNE'],2018-05-31,,
11,SensorSystem,Norge,NO,ØSTFOLD,1.0,,Point,"[11.0444, 59.0367]",False,,SN1080,17.0,HVALER,111.0,HVALER,,Hvaler,['MET.NO'],1908-11-01,0-578-0-1080,
